title,count,comment_text,vote,reply,date
"E aí, Brasil｜Anúncio de pré-registro｜Honor of Kings",609,"Cara que épico essa homenagem ao Brasil HOK !! Joguei no beta e cara, o jogo tá muito lindo, quero muito jogar com essa versão official !! Já fiz o pré-registro e vo tá acompanhado essa obra de arte que promete !! Tmj Honor of Kings !! E eu quero minha skin que foi prometida em !!!",10,0,1 year ago
"E aí, Brasil｜Anúncio de pré-registro｜Honor of Kings",609,"NAMORAL????? vcs fizeram isso mesmo?....Apaixonei 
E ainda vamos fazer muito mais, é só o começo!",27,0,1 year ago
"E aí, Brasil｜Anúncio de pré-registro｜Honor of Kings",609,"E parabéns por chamar influenciadores que a gente já conhece Mano esse jogo vai ser o melhor desse ano 
Estamos trabalhando muito pra isso! Valeeu LC!",18,0,1 year ago
"E aí, Brasil｜Anúncio de pré-registro｜Honor of Kings",609,FIcou bonito mesmo e a dublagem do honor of kings está muito boa no geral!,16,0,1 year ago
"E aí, Brasil｜Anúncio de pré-registro｜Honor of Kings",609,"Estão fazendo o que o Wild Rift não prestou pra fazer, apenas dá atenção pra nossa comunidade! Era só isso... 
Parabéns pra Staff do HOK, ganharam meu voto de confiança!! 
️
Vamos fazer por merecer esse voto! 
old
Kkkkkk não do um mês pra cair no esquecimento
 @willbueno4719 
 n
 @willbueno4719 
 Cai nada.... joguei o beta e foi muito melhor que outros mobas.
 @willbueno4719 
 é porque tu não jogou o beta, game bem otimizado, bem dinâmico e legal, fácil de aprender, além de investirem grande em marketing, antes de lançar
 @willbueno4719 
 Pode cair até no dia do lançamento, mas mesmo assim já fez o que o wild rift não fez em vários anos de ""vida"".
 @alexia5564 
 continua sendo feio com gráfico porco se pra ser free fire dos mobas conseguiu essa bomba campeões idênticos  do lol  nem pra mudar algo pelo menos mobile legends muda algo na hora de copiar se quer um Wr de baixo orçamento está ae perfeito pra vcs 
️
 @willbueno4719 
 mds kkkkkk o jogo n tem nada aver com o lol, além dos bonecos serem diferentes, mbl sim copiou alguns bonecos do lol e outra se quiser jogar um jogo falido aonde a própria Impresa abandonou o jg, q não tem uma rankeada decente e n tem nem público, bom fica no wr.. 
 @EduardoGomes-oo9vt 
 ND vê isso eles já voltaram e trouxeram de novo o competitivo pro Br porém o foco ainda vai ser a china",71,0,1 year ago
"E aí, Brasil｜Anúncio de pré-registro｜Honor of Kings",609,So por esse video ja merece todo carinho dos Brasileiros .. Que video foda,3,0,1 year ago
"E aí, Brasil｜Anúncio de pré-registro｜Honor of Kings",609,"A comunidade, a rua de paralelepipado, skate, churrasco, o futebol de rua, as escadarias, o grafite... Tudo junto e misturado de nossa cultura brasileira. Vídeo sensacional.",4,0,1 year ago
"E aí, Brasil｜Anúncio de pré-registro｜Honor of Kings",609,"Maneirinho essa anúncio, dá p ver que eles se dedicaram",31,0,1 year ago
"E aí, Brasil｜Anúncio de pré-registro｜Honor of Kings",609,"Obrigada pelo carinho ao nosso povo brasileiro!!!!Esse é o primeiro jogo que me diverti de verdade jogando,estou ansiosa pelo lançamento",3,0,1 year ago
"E aí, Brasil｜Anúncio de pré-registro｜Honor of Kings",609,"Caramba mano! Que incrível o HoK está dando atenção a comunidade brasileira. Até me chamou mais a atenção.
巴西的游戏环境利于王者荣耀的发展吧",8,1 reply,1 year ago
"E aí, Brasil｜Anúncio de pré-registro｜Honor of Kings",609,Vocês são demais obrigado Honor of Kings,6,0,1 year ago
"E aí, Brasil｜Anúncio de pré-registro｜Honor of Kings",609,So eu arrepiei no ( E ai Brasil),3,0,8 months ago
"E aí, Brasil｜Anúncio de pré-registro｜Honor of Kings",609,"Que vídeo mais lindo 
. Absolutamente encantada com toda atenção ao público BR",3,0,1 year ago
"E aí, Brasil｜Anúncio de pré-registro｜Honor of Kings",609,"Ok, vocês conseguiram chamar minha atenção, amei demaaaais (so espero ter espaço suficiente 
)",4,0,1 year ago
"E aí, Brasil｜Anúncio de pré-registro｜Honor of Kings",609,Quero ver as dublagens do herói amooo obg HOK,5,0,1 year ago
"E aí, Brasil｜Anúncio de pré-registro｜Honor of Kings",609,"Esse jogo promete tudo, meu deus que maravilhoso!
Só de ver essa atenção pra um vídeo de server br de um jogo chinês ja dá uma alegria que n tem nem como, expectativa altíssima e acho que não tem como dar errado
hok的cg质量绝对是非常高的",5,1 reply,1 year ago
"E aí, Brasil｜Anúncio de pré-registro｜Honor of Kings",609,"Gostei muito desse jogo achei ele super incrível e assim que eu baixei Já amei muito, ele é quase igual o mobile Legends mas a é diferença é que a gente pode usar vários heróis de graça e também ganhar um baú todo dia fico muito feliz em saber que o Brasil é o primeiro país além da Coreia a lançar o Honor of kings que venham muitos mais jogos que o Brasil seja lembrado",2,0,10 months ago
"E aí, Brasil｜Anúncio de pré-registro｜Honor of Kings",609,"A Atenção de vcs pra nois brasileiros é muito valiosa , linda atitude de vcs , com certeza vou migrar pra vcs e irem jogar bastante no lançamento, sucesso HOK",1,0,1 year ago
"E aí, Brasil｜Anúncio de pré-registro｜Honor of Kings",609,Amei o trailer ficou lindo,9,0,1 year ago
"E aí, Brasil｜Anúncio de pré-registro｜Honor of Kings",609,"Top demais, vlw HOK... espero vc em breve. 
️
Logo logo nos encontraremos no campo de batalha!",6,0,1 year ago
"E aí, Brasil｜Anúncio de pré-registro｜Honor of Kings",609,Sério eu tô muito feliz com certeza fico feliz por terem um carinho pelo Brasil adorei ganhei meu dia,1,0,1 year ago (edited)
"E aí, Brasil｜Anúncio de pré-registro｜Honor of Kings",609,Excellent visuals! Can't wait to play,4,0,1 year ago
"E aí, Brasil｜Anúncio de pré-registro｜Honor of Kings",609,"Estou muito feliz que vocês estão dando anteçao para o Brasil, não conhecia o jogo antes mas espero ansioso para começar a jogar e ser um dos melhores :)
这款游戏的职业比赛已经进入了亚运会",3,1 reply,1 year ago
"E aí, Brasil｜Anúncio de pré-registro｜Honor of Kings",609,Representou! Sucesso! 🇧🇷,1,0,1 year ago
"E aí, Brasil｜Anúncio de pré-registro｜Honor of Kings",609,"Ja deixei até em pré registro, tô ansioso pra jogar",1,0,1 year ago
"E aí, Brasil｜Anúncio de pré-registro｜Honor of Kings",609,MEU DUES Q LINDO!! Vem com tudo!,4,0,1 year ago
"E aí, Brasil｜Anúncio de pré-registro｜Honor of Kings",609,"Doido para jogar, ainda mais com esse vídeo, corre pra cá HOK",3,0,1 year ago
